,0
123,"Qualifications: Minimum of a 2:1 in Administration or related field Required skills: Documentation. Presentation(MS Powerpoint) Data Analysis (MS Excel, SQL querying) Modeling, Flowcharts (MS Visio, eDraw)Key Responsibilities: The analyst is responsible for the design or modification of business and IT systems."
124,"About UsValueGate Consulting is a global consulting powerhouse with Engineers, Business analyst, Data analyst and Technical specialist. We began our operations a few decades ago and have grown due to excellent relationships with our clients.We achieved our success because of how successfully we integrate with our clients. One complaint many people have about consultants is that they can be disruptive. Employees fear outside consultants coming in and destroying the workflow. Our clients face no such issues.ValueGate Consulting continues to grow every day thanks to the confidence our clients have in us.The Web Applications Intern will provide support and application development in the area of Intranet applications. This role will continue to improve technical expertise through the identification of new processes and technical alternatives. This role will be responsible for establishing and maintaining positive business relationships throughout their area of responsibility and consistently adding value back to the business by leveraging their knowledge and experience to assist the business in addressing their business needs. This person will work mostly with internal teams and on occasion with external design/implementation teams and work cross-functionally between the business and IT to bridge gap between design, content, and technology.KEY ROLES AND RESPONSIBILITIES:Maintenance of the Corporate Intranet site (currently HTML)Maintenance of the Corporate and Muncie Benefits sites (currently HTML)Assist in support of various Intranet applicationsResponsible for various projects that are driven by the business (requirements, documentation, coding, deployment, maintenance, and support)POSITION ACCOUNTABILITIES:Overall project management of projects within his/her area of responsibility including implementation and testing of all new functionality/featuresDesign, develop, debug, produce, refine, test, deploy, maintain, and document SharePoint solutions using customized as well as out-of-the-box functionality, including web parts and InfoPath formsDesign solutions that accurately reflect requirements and provide innovative solutions to customer (user) needs within defined time and cost constraintsAct as a technical resource to users, customers, and other team membersProvide production support and maintain existing systems by researching and troubleshooting any user-related problemsKeep customers informed of progress and work to quickly and efficiently bring user issues to resolutionResponsible for providing functional and technical specifications, where applicable, for all development and work with development team members to successfully deliver development objectsCreate and maintain documentation necessary to ensure successful implementation and support of the web environmentEDUCATION/EXPERIENCE QUALIFICATIONS:Working towards Bachelor’s degree in Computer Science, MIS, or other IT-related degreeDemonstrated experience in HTMLAbility to prioritize multiple projects, work under tight deadlines, and handle changing prioritiesResults-oriented with strong problem-solving and analytical skillsAbility and desire to solve complex software problemsStrong customer management skills and ability to understand translate and define complex business requirements and recommend solutions based on those requirementsIT AREAS OF EXPERTISE:Preferred Web Application development experience, including HTML, C#, CSS, XSL/XML (Java, JS, and jQuery a plus)Microsoft Office Suite (SharePoint experience a plus)POSITION COMPETENCIES:Action-orientedUnderstanding of ethics and complianceFunctional/technical skillsPrioritizing based on time and importanceLearning on the flyListeningProcess managementDrive for resultsSelf-sufficientCommunication skillsCustomer focusedWorking independently"
125,"About UsValueGate Consulting is a global consulting powerhouse with Engineers, Business analyst, DataAnalyst, and Technical specialist. We began our operations a few decades ago and have growndue to excellent relationships with our clients.We achieved our success because of how successfully we integrate with our clients. Onecomplaint many people have about consultants is that they can be disruptive. Employees fearoutside consultants coming in and destroying the workflow. Our clients face no such issues.ValueGate Consulting continues to grow every day thanks to the confidence our clients have inus.Job description:Join us for an opportunity designed to let you apply your classroom learning to real-worldchallenges. we have a thoughtful balance of networking, executive speakers,community involvement, big meaty projects (no paper filing here) and fun!About You:DrivenPassionateCreativeHard workingStrategically mindedStrong networking skillsAbility to work independentlyResponsibilities:Identify new business ventures and assess market opportunity (market sizing, trends, etc.)Evaluate existing businesses to drive additional valuePrepare reports, business plans, financial modeling and presentationsInitiate deals and partner negotiationsWork with cross-functional teams locally and globallyCompetitive landscaping and analysisBasic Qualifications:Business based academic qualification, e.g. Economics, Management, or related coursePrior work experience in business development, strategy, management consulting, orfinance role a plus, (not required)Technical background a plusObtaining leads from market research, networking, and other sources, following up on suchleads, evaluating and documenting to create a work package for the business development team.Understanding of various customer acquisition channels and distribution value chain modelsProven ability to initiate and champion projects across divisions, and build strongrelationships with cross-functional team membersExperience analyzing complex data and creating actionable recommendationsAmbitious and motivated, with a strong work ethicExcellent communication, negotiation and presentation skillsPreferred Qualifications:Bsc. BA, MSc or MBA or equivalent qualifications.Basic and advanced analytic and statistical competence.Skilled at structuring and negotiating complex agreementsProven ability to create and deliver senior management level presentations"
126,"Overall Responsibility: Be responsible cost accounting / financial analysis to ensure that sound control is in place to support the business growth. This role also works closely with the Commercial and or Product Supply team Essential Responsibilities: Provides leadership to Commercial and or Product supply team that enables them to define strategic plans and goals that are business driven, aligned with the company goals, rooted to the external environment and are stretching but realistic. Champions external focus by leading benchmarking work to better understand competitive strategies, capabilities, processes and costs. Then uses the information to influence strategies and business decisions appropriately. Drives a strong cost focus across their business by Identifying cost efficiencies/opportunities for their business. Acts as an entrepreneur providing breakthrough propositions and game-changing value creation opportunities. Utilizes new/creative business models to analyze options, remove obstacles, encourage smart risk taking, and move the business forward. Demonstrates excellent analytical skills by picking up concepts quickly and understanding issues deeply. Quickly provides structures/definition for new issues and for product initiatives. Routinely produces accurate/consistent numbers, which can be published without a need for checking. Produces quick turnaround on important or urgent requests. Creates capacity to handle multiple work items simultaneously by quickly grasping concepts, concentrating on priorities, and anticipating questions/needs. Handles minor questions easily. Goes well beyond the mere reporting of data for their area of responsibility. Insight and well-reasoned action steps accompany all reports. Anticipates and resolves issues and captures opportunities. Continually looks for value creation opportunities. Qualification/Requirements: Bachelors Degree in any Finance & Accounting related field from an accredited university with a minimum of 2 years work experience in Finance Must have completed NYSC Desired Characteristics: Strong oral and written communication skills Basic accounting skills Demonstrated ability to take initiative to understand and resolve issues Proven analytical skills Strong SAP and MS Excel skills Passion to learn and contribute to the business Strong interpersonal and leadership skills Ability to influence others Lead initiatives of moderate scope and impact"
127,"RESPONSIBILITIES:Gather and analyze financial information for internal useSupport budgeting and fundingAssist the company in managing its investment portfolioAssume responsibility of accounting proceduresEvaluate the company’s performance using key dataMake forecasts to assist business planning and decision-makingAdvise on problems and suggest improvementsSupervise lower-level personnelREQUIREMENTS:BSc in accounting, finance or similar fieldProven experience as a management accountant in FMCG settingSolid knowledge of basic and advanced accounting and financial principles and practicesExcellent knowledge of cost accounting and reportingExcellent knowledge or risk analysis, budgeting and forecastingWorking knowledge of financial software and MS OfficeExcellent communication and presentation skillsA problem-solver with attention to detailHOW TO APPLY:Interested and qualified candidates should forward their CV to cv@ascentech.com.ng using Data Analyst as the subject of the mail. N.B – Only suitable and qualified candidates will be contacted."
128,"Job Description Process Credit Applications, Monitor Trade Partner Credit Facilities And Initiate Appropriate Action On Defaulting Creditors Analyze Credit Transactions And Behaviors With A View To Providing Feed Back To The Sales Support Supervisor Credit Maintain Trade Partner Accounts Sub Ledger Ensuring Completeness, Accuracy And Correctness. Maintain An Updated Schedule Of Bank Guarantees For Credit Trade Partners Convenience Partners Ensure That Bank Guarantee Expiration Alerts Are Periodically Sent To Trade Partners For Timely Renewal Ensure Partners With Expired Bank Guarantee Are Restricted From All Credit Related Transactions Initiate Suspension Of Credit Sales To Defaulting Accounts Immediately After Default And Ensure Adherence To MTNN Bad Debt Policy. Review And Reconcile Credit Trade Partners Accounts To Highlight Accounts With Near Due And Overdue Payment Dates And Propose Required Action. Prepare And Circulate Outstanding Credit Invoices To All Distributor Account Executive (DAEs) On A Weekly Basis. Prepare Sales Performance And Risk Turnover Reports For Financial Operations. Generate Report On Credit Status, Credit Utilization And Sales Of Trade Partners. Prepare Monthly Customer Ledger Age Analysis For Proper Debit Monitoring And Escalation When Required Prepare Daily Invoice And Collection Report. Receive, Sort And Evaluate Credit Applications From Channel And Maintaining A Proper Log Of All Such Applications And Ensure Completeness And Accuracy. Conduct Credit Sessions For New And / Or Defaulting Credit Trade Partners And Regional Sales. Monitor Trade Partner Credit Facilities And Initiate Punitive Action On Default Accounts, Following Up On Related Transactions To Ensure Compliance With Credit Policy. Maintain Trade Partner Accounts Sub Ledger And Reconcile Credit Accounts Regularly. Generate Relevant Daily, Weekly And Monthly Reports And Resolve Queries Support Divisional Special Initiatives Process Customer Credit Orders Carrying Out The Following Tasks: Track Trade Partners Credit Transactions And Ensure They Are Processed Within Credit Limit Schedules. Vet And Release All Credit Related Requests From Trade Partners, Convenient Partners, Walk-In Centers, As Well As Release Validly Approved Credit Requests From Enterprise Solution Of MTN. Process Other Credit Related Requests Meant To Achieve The Business Strategic Sales Objectives. Resolve All Queries On Trade Partner Credit Orders And Accounts, Bank Guarantee Cut Off And Due Dates, Credit Related Payment Queries, Complains From Regional Sales And Outstanding Invoices Issues. Analyze Credit Applications Using Financial Ratios Based On Trade Partners Record On The ERP Systems And Advise Supervisor To Activate New Credit Facility On The System. Continuously Seek Self-Professional Development To Sharpen Skills And Capabilities In A Versatile And Evolving Digital Landscape. Foster Active Collaboration And Relationships With Employees Across All Levels And Divisions In Line With MTNs VB And Values. Job Condition Normal MTNN Working Conditions May Be Required To Work Extended Hours Open Plan Office Experience & Training Education: First Degree In AccountingFinanceBusiness Related Field Fluent In English Experience: 3-7years Experience In An Area Of Specialisation; With Experience Working With Others Credit Administration And Risk Management Reporting And Data Management Key Account Management And Problem Solving Experience Working Within A Team In A Medium Organization Microsoft Office (Word, Powerpoint, Excel) Debt Recovery Training: IFS TrainingOracle Based Application Minimum Qualification BA, BEd, BSc Or HND"
129,"Job Description Under direct supervision, monitors, reports on, and responds to complex electronic communications hardware and software problems. Provides primary interface with vendor support service groups and provides internal analysis and support to ensure proper escalation during outages or down periods. Makes wiring modification to systems and equipment and performs complex and emergency maintenance on electronic communications hardware and software. Requires extensive knowledge of radio communications, and/or voice/telephone communications, and/or data networks and/or satellite systems. Job tasks, correctly performed, impact indirectly on cost containment, efficiency, profitability or operations. Assists in supervising others. Provides basic job training and guidance on a regular basis; performs work of same or closely allied nature. Skills are typically acquired through completion of an undergraduate degree IT/Telecommunications discipline and 4 years of experience in electronics which includes experience in telecommunications, or equivalent combination of education and/or experience in telecommunications. Possible Benefits We bring out the best in wells and people. Put your strong knowledge of complex voice, data, satellite and/or radio systems to use as a Halliburton Sr. Information Technology Network Analyst. You are the primary point of contact with vendor support service groups and for resolving complex electronic communications hardware and software problems. You will provide internal analysis and support to ensure proper escalation during outages or down periods. System and equipment wiring modifications are made by you, when needs and you are the one depended upon to perform complex and emergency maintenance on electronic communications hardware and software. Qualifications A bachelor's degree in Information Technology or Telecommunications or equivalent and minimum of four years experience in telecommunications or equivalent combination of education and/or experience in telecommunications are required."
130,"IT Business Analyst responsibilities Gather intelligence from corporate executives and middle managers about needs and future growth Partner with application directors and creators to ensure each project meets a specific need and resolves successfully Assume responsibility for project tasks and ensure they are completed in a timely fashion Evaluate, test and recommend new opportunities for enhancing our software, hardware and IT processes Compile and distribute reports on application development and deployment Design and execute A/B testing procedures to extract data from test runs Evaluate and draw conclusions from data related to customer behavior Consult with the executive team and the IT department on the newest technology and its implications in the industry IT Business Analyst skills Bachelors Degree in Software Development, Computer Engineering, Project Management or related field 5+ years experience in a supervisory position related to information technology 10+ years experience in technology development and deployment Experience with SharePoint, SQL, Nintex and BPM tools"
131,"Responsibilities - Plan, install, upgrade, troubleshoot and maintain Sage 300 ERP systems and applications in support of business requirements, including advanced and complex environments- Oversee and manage projects involving the installation and setup of Sage 300 ERP in a new client environment. Work with clients to setup and troubleshoot accounting issues and employ processes to improve business management and reporting capabilities using the Sage software. Provide end-user training and analyst training on all modules of Sage 300 ERP including 3rd party add-on modules that integrate with the program- Demonstrate knowledge of Crystal Reports to deliver customized reporting solutions in complex environments- Provide technical support and consultation to clients. Advise client’s management on infrastructure upgrading, technology directions, and opportunities to ensure hardware and software remain current. Accurately estimating time require for, and recording time spent on, support and project work; taking responsibility for individual productivity. Maintain current and timely communication with immediate supervisor of activities, issues and progress with projects.- Provide progress updates on work completed and work to be completed as well as long range goals and plans of the client- Stay current with the latest technology, developing trends and approaches. Required to help manage and supervise the progress and skill development of other analysts- Incumbent analyst must set the standard and research solutions to ensure they are stable, effective, and properly deployed. Best practices and attention to detail ensure high quality and ideal conditions. This includes maintaining fluency with new and evolving technology, trends and approaches to solutions, as well as business and accounting trends and changes. Manage project, ensuring all client work is completed, recorded and invoiced to the client in a timely manner within standard billing cycles. Resolve billing issues that arise. Ensure client satisfaction is maintained. Provides updates and reports on project and client status as required. Support and install FR (Financial Reporter) module; provide advanced support and understanding of PJC or Payroll / HRMS modules- Ensure every client is a referenceable client- Familiar with Business Care plans and can advise clients on which solutions to select- Maintain certifications and client references necessary to enable Britec to achieve and maintain competency’ statuses with various suppliers including Sage and other 3rd party vendors- Accurately record time in our billing software for work done for clients Required Knowledge & Technical Skill - Advanced knowledge of accounting systems and accounting concepts- Advanced understanding of the Sage 300 ERP database structure / AOM- Advanced understanding of Crystal Reports- Able to deploy Sage 300 in more complex multi-location environments involving advanced network environments with Citrix and Terminal Server- Expertise in all Sage 300 ERP Core Modules- Expertise in Sage 300 Payroll / HRMS or PJC- Complex disaster recovery and data repairs- Knowledge of network requirements for sophisticated system installs- Education and Other Requirements - Completion of an accounting certificate or Business degree or equivalent - Maintain all Sage 300 ERP certifications- Abilities & Skills Required for Success : - Ability to work in an environment which is subject to high-stress urgent work situations - Ability to actively listen, and skilled in expressing ideas and presenting them in user-friendly language - Must be able to speak, read, and write at a level suitable for communicating with senior client contacts - Ability to be flexible, adapt to and foster positive change - Good analytical, organizational and problem-solving skills - Ability to understand assigned tasks, clarifying if necessary, and take accountability for delivering timely results - Ability to rapidly learn new technologies Report this job Thank you for reporting this job! Your feedback will help us improve the quality of our services.More InfoEmployeritForte Staffing Services Private LtdLocationNigeriaJob Posted5d ago"
132,"Job Requirement University degree in Economics, Finance, Statistics, Mathematics or a related discipline (minimum 2nd class upper). A Masters degree in any of the mentioned disciplines, Financial Risk Manager (FRM) certification and/or Chartered Financial Analyst (CFA) Certification would be an added advantage. Minimum 10 years relevant experience in the financial sector, including at least 3 years in a risk analysis/management role. Ability to apply industry knowledge and technical skills in the production of insightful interpretations and analysis of data. Strong quantitative and financial modelling skills, advanced MS Office Suite (in particular Excel); experience with managing an investment database; familiarity with investment and statistical theories, and problem solving. Ability to work independently, but also is a team player with excellent communication and interpersonal skills. Good knowledge of the economy, markets and general investment management practices and pension industry regulation Ability to multitask and prone to take initiative Job Scope The job holder will implement the Total CPFAs Enterprise Risk Management Framework (Risk Assessment, Evaluation, Monitoring etc.). The candidate should have sound knowledge of Investment Risk Management in particular. Job Responsibilty Implement the Companys ERM framework and promote a risk awareness culture within the CPFA. Examine the Funds investment portfolios and analyse risk involved in investment decisions. Project potential losses associated with the Funds portfolio and recommend actions to limit risks through diversification and other strategies. Track and report investment trends and potential impact on the Funds portfolio. Interpret and explain the nature of portfolio risk, including using attribution analysis to explain returns. Work with other CPFA teams to identify and calculate risk associated with transactions. Identify and report asset losses, risk exposures and requirements to support the business. Support risk projects undertaken by external risk consultants and advisers. Maintain the risk register"
133,"Sales manager, Production manager, Logistics manager, Food engineer, Quality assurance manager (IFS, FSSC, ISO22000, HACCP etc), Labor, Secretaire, Mechanical engineer, Electrical engineer, Electronics engineer, Engineer of robotics, IT Manager, Database Administrator, Data analyst, SAP ERP counsaltant. Kindly send your CV to hr (at) dogans.ng if suitably qualified and interested in the above listed positions. Please provide the area of work you apply for in the subject line of the mail and reference lettersfrom your previous workplaces."
134,"17394BRRequisition Number:17394BRDescription:Stantec is currently seeking a KPI Controller. The Roads Operations and Maintenance Department (ROMD) is operating and maintaining a significant and growing road network. Road assets have increased significantly in recent years as the infrastructure development programme is implemented to improve service levels to customers and prepare for the FIFA World Cup to be held in Qatar in 2022.Key tasks and responsibilities:Ensure ROMD establishes an internal process for planning, monitoring and reporting business performance against Strategic and Departmental objectives, Key Performance Indicators (KPIs) and Levels of ServiceGet validation from the ROMD Sections and approval from ROMD Management for all the proposed targetsProvide ad-hoc business and data analysis to support performance improvement interventionsTransition Stantec activities to ROMD resourcesKey accountabilities and responsibilitiesEnsure the development, publishing and approval by ROMD Management of the ROMD Strategic Objective Report – monthly and quarterlyDevelop and implement a KPI dashboard report for the 2020 KPIs (Strategic and Departmental)Organize and ensure the participation and attendance of all the concerned parties in the ROMD KPI Forum, and monthly follow up of the documented decisions and progress on the actions assigned to the participantsInitiate the process to establish the ROMD Innovation Forum in 2021Perform ad-hoc business and data analysis to support decision makingProvide expertise and guidance for the development of 2021 KPIs and 5 year targetsContribute to the improvement of the ROMD 2021 Business PlanLiaise with ROMD Engineers to identify areas of improvement to support improvement in business performanceEmbed a culture of data driven decision making and use of corporate IT tools/ system to record all the work done by the DepartmentDevelop and implement plan to transition Stantec Business Analyst role to Ashghal resourcesTitle:KPI ControllerQualifications:Qualifications and Experience:Degree from and internationally recognized universityMembership and preferably chartered status with a recognized and relevant professional institution (engineering or other relevant discipline)More than 5 years post-graduate experience, preferably within a utility sector organisation with more than 5 years in a similar positionLogical and structured thinker with excellent problem-solving abilityDemonstrated ability to facilitate team discussion and work collaboratively in cross-functional teamsAbility to simplify concepts for clear and concise presentation of solutions through written reports, presentations and plansProficient with advanced ability in the use of Microsoft suite of applications (Excel, Word and Powerpoint)Experience of performance dashboard applications (Tableau or similar)Experience of working within the Middle East region (preferable)Arabic speaking (preferable)Job Category:Accounting FinanceAbout Stantec:We’re active members of the communities we serve. That’s why at Stantec we always design with community in mind. We believe growing a great design company happens from the inside out. We look for people who are drawn to use every talent they possess, plus creativity, determination and a drive to do the extraordinary.The Stantec community unites approximately 22,000 employees working in over 400 locations across six continents. We collaborate across disciplines and industries to bring projects to life. Our work as architects, engineers, and consultants from initial project concept and planning through design, construction and commissioning is built on a solid history of success. So, when we take on a project, we see the opportunity to make a lasting connection with the people and places where we live and work. Redefine your personal best. Join us!Location :Qatar-DohaCountry:QatarState/Province:QatarCity:Doha"
135,"Job Description Manage, Monitor And Provide Oversight On Compliance Obligations In Mobile Financial Services Operations. To Establish A Control Environment To Mitigate The Risk Of MTNNs Mobile Financial Services Being Abused For The Purposes Of Money Laundering Or Terrorist Financing Support Shareholder Return Strategy By Developing And Implementing Finance Processes That Are Aligned To Achieving All Elements On The Business Score Card. (I.E. Grow Market Share, Grow ICT & Data Revenue, Increase EBITDA Margins, Assure Revenue, CAPEX Returns Management And Net Subscriber Additions). Participate In The Review Of Business Processes (Headcount, Process Optimisation, Etc.), To Drive Efficiency Gains To Ensure At Least 5% Reduction In Divisional Budget Year-On-Year. Serve Internal Customers And Provide Solutions To Improve The Customer Experience. Establish Strategic Partnerships With MTN Nigeria Leadership Team To Drive Awareness On Expected Behaviors And Impact Of Non-Compliance On Bottom Line Results And Company Image/Reputation. Serve As A Confidential Point Of Contact For Employees To Communicate With Management, Seek Clarification On Issues Or Dilemmas, And Report Irregularities. Network And Build Solid Relationships With Internal Units And Relevant Third Parties (E.G. Strategic Investors, Technical And Finance Partners, Business Consultants Etc.) And Develop A Close Working Relationship With Relevant Information Sources To Provide An Integrated Service. Maintain Effective Working Relationships With Internal And External Suppliers. Keep Abreast Of Global And Regional Best Practices Relating To Mobile Financial Services And AML/CTF As Well As Fraud In The Mobile Financial Services Operations. Work With The MTN Regulatory Functions And Provide Input Into Mobile Financial Services Regulatory Policies/Regulations, Legislative Framework And Impact Of New Regulatory Policies And Legislation With Specific Focus On The Impact Of Such Regulations Or Policies On MTNs Mobile Financial Services Operations Ensure Ongoing Compliance With Established Company Policies And Procedures Related To Anti Money Laundering And Financial Crime Risks In Consultation With Relevant First Line Functions. Develop And Maintain Metrics And Reports On AML/CTF Risks For Senior Management, Compliance And Other Key Stakeholder Groups To Ensure Responses And Remediation Actions Are Promptly Reported And Executed As Necessary. Liaise With Various Departments To Understand Business Processes, Possible Gaps, And Potential AML/CTF Shortfalls. Perform Regular Anti Money Laundering And Financial Crime Risk Assessments And Work With Management To Ensure That Mitigating Actions Are Established And Tracked Continuously Seek Self-Professional Development To Sharpen Skills And Capabilities In A Versatile And Evolving Digital Landscape. Coach And Train The Team To Ensure Understanding Of The Objectives And Goals Of The Department, Awareness Of Set Targets/Requirements And Regularly Review Their Training Needs. Review Performance Of Individual Team Members And Complete Appraisals In Accordance With The Employee Performance Appraisal Procedures And Time Schedules Job Condition Normal MTN Nigeria Working Conditions May Be Required To Work Extended Hours Experience & Training Education: First Degree In Any Relevant Numerate Discipline MBA Or Senior Management Program In A Recognized Business School Would Be An Added Advantage AML/CFT Certification (Association Of Certified Anti-Money Laundry Specialist) Will Be An Added Advantage Experience: 6- 13 Years Experience Which Includes: At Least, 3 Years In Mobile Financial Services Sector/ Industry Or Banking Minimum 3 Years Of Proven Experience As An AML/Fraud Analyst In The Banking Industry Or Within Mobile Financial Services Preferably Working Knowledge Of AML/CTF And Other Compliance Requirements Laws And Rules In A Mobile Financial Services/Banking, Switching Services Or E-Payment Organisation Experience Of Local Financial Services Regulatory Landscape Proven Track Record Of Technical And Specialized Know-How Around Mobile Financial Services Fraud And AML/CTF Good Knowledge Of The Central Bank Of Nigerias Mobile Money Guidelines And AML Regulations Familiarity With The FIU (Financial Intelligence Unit) Directives /Regulations. Strong Written And Communication Skills Good Knowledge Of AML Tool Risk Secure Or Any Other Monitoring Tool Would Be A Plus Emerging Markets/ Multi-Cultural Experience Previous Success In Implementing Organization-Wide Financial Services Regulatory And Compliance Policies Minimum Qualification BA, BEd, BSc Or HND"
136,"Responsibilities A. Operations Work with internal and external customers to understand and analyze requirements and develop business intelligence (BI) solutions using underlying technologies; Lead and provide technical expertise in the design, development, testing, documentation, and maintenance of reporting and analytic solutions; Support technical development of complex BI reports, applications, and other tools; Perform highly complex data queries and mapping; Develop process to streamline and monitor and ensure a high level of availability for all critical reports; Assist in updates and upgrades of BI software and determine functionality that should be implemented to improve technical/user experience; Assist project sponsors in the interpretation and use of results; ensure that data is understood by users; Prepare supporting documentation, reports, and presentation materials. Research continuously on more effective ways to improve efficient use of tool and adherence to processes. B. General Duties Promote communication between colleagues for the benefit of information flow and to curb any problems that arise. Write and submit reports to the Head of Quality Assurance in all matters relating to business analysis. Manage relationships with partners/vendors. Performs other appropriate duties as requested by Head of Quality Assurance. Competencies Data Management Requirements Gathering Solutions Validation Computer and Information Management Process Excellence Business Case Development Business Planning and Intelligence Financial Modelling Education & Experience 1st degree in Computer Science or related discipline Certified Business Analysis Professional (CBAP) certification would be advantageous Upwards of 7 years experience in a related field or role To Apply If you would like to apply for this role, please send your CV and Cover letter to [email protected] indicating in the subject bar the name of the role. Advert closes June 21 , 2018"
137,"As a lead application developer, you would be responsible for directing the development team in the design, development, coding, testing, and debugging of applications. You would also coordinate the development team’s schedule and ensure effective communication between team members and other IT functional areas.Minimum Qualification: DegreeExperience Level: Mid levelExperience Length: 4 yearsJob Description/RequirementsDuties & ResponsibilitiesThe lead developer would be responsible for coordinating other developers in creating, maintaining, and debugging applications for the business.Guide team development efforts towards successful project delivery.Provide technical leadership to teammates through coaching and mentorship.Create schedule for team meet-ups(scrum) for collaboration and review of designated tasks.Work closely with the product development team to perform product analysis, review, and development of software requirement documents.Maintain high standards of software quality within the team by establishing good practices and habits.Identify and encourage areas for growth and improvement within the team.Collaborate with other software developers, business analysts and software architects to plan, design, develop, test, and maintain web, mobile, and desktop-based business applications.Working directly with developers and product managers to conceptualise, build, test and realise products.Gather requirements around functionality and translate those requirements into elegant functional solutions.Perform technical review of programming codes written by engineers.Assess opportunities for application and process improvement and prepare documentation of rationale to share with team members and other affected parties.Adhere to high-quality development principles while delivering solutions on time and on-budget.Provide third-level support to business users.Explain technologies and solutions to technical and non-technical stakeholdersEssential SkillsStrong OO design and programming skills in various programming languages including Python, Java, C++, Scala and/or others. Good understanding of Rest based Web API and OpenAPI specification Experience with JWT authentication and common industry standard encryption algorithmsKnowledge of PostgreSQL, MongoDB, MySQL, and other similar database management systemGood understanding of software design patternsStrong knowledge of algorithms and data structures Understanding of “session management” in a distributed server environment Knowledge of Linux Servers and basic deployment tasksGood understanding of agile development frameworks including Scrum and KanbanStrong knowledge of Git Working knowledge of financial payment integration workflows. Vast knowledge of the general software development landscape, architectures, trends, and emerging technologiesExcellent QA testing skillsRequirements Minimum of 4years experience as a professional software developer. Great teamwork skill.Great leadership skillsExcellent Multitasking SkillGreat interpersonal and communication skillsComplex problem-solving SkillExcellent time management skillsKnowledge of Docker & Kubernetes a plus.Important Safety Tips1. Do not make any payment without confirming with the Jobberman Customer Support Team."
138,"Our client is a social, for-profit business that designs, distributes, and finances solar-powered home energy products. They stay in touch with under-served consumers’ needs in part by operating its own direct-to-consumer sales network, including thousands of trusted sales agents in local communities. Over a decade in business, the company is now a leading global brand in emerging markets across Asia and Sub-Saharan Africa. Their products provide modern light and energy to 30 million people in more than 60 countries.They now have an opening for a Business Analyst, Process ExcellenceReporting to: Process Excellence LeaderThe Business Analyst, Process Excellence, will have a leading role in helping to reshape critical business process across our client's organization. They will join at the ground floor of a new team with an ambitious agenda to deliver step change performance improvement across critical business functions like Sales, Operations, Training Depts, Call Centres, HR, etc. They will report to the Process Excellence Leader a former Strategy Consultant at a leading global consulting firm, and Program Manager at a leading global trust/non-profit. They will benefit from world class professional development opportunities and get unparalleled exposure across a Solar Company delivering live changing products to customers across Africa and Asia.The ideal candidate must haves:Business Process Analysis: Conduct analysis of existing business processes & systems through observation, interviews, data analysis, etc. Summarize and succinctly present findings to your supervisor and other leaders in our client's organisation.Process design, redesign and vetting: Work with your supervisor and project sponsors to design critical business processes that deliver increased revenue, reduce cost, or qualitative improvements like customer satisfaction. Design processes with strong controls and KPI measurement.Pilot and/or lead scale implementation of new processes & systems: Work with project sponsors to prototype new processes or business improvements; project manage for successful implementation; collect data & feedback on performance; roll-out changes to all country operations.Prepare client ready documentation: Prepare crisp and polished documentation of new systems including process documents, reporting dashboards [excel, looker, BI etc.] training materials, presentations etc.Training: Conduct training with junior, and senior field and office-based staff members transferring knowledge and excellent implementation of new processes.Field Visits: Conduct field visits with EB operations across East AfricaAny other business: Any other business as assigned by your supervisorRequirementsTop marks at a top 5 Regional or Globally recognized University with a degree in commerce, engineering, sciences, education or other relevant discipline.Advanced degree (added advantage)2+ years’ experience in a strategy or operational consulting role from a top regional or global consulting firm or business.1+ year experience in project management1+ year experience training teamsHighly analytical with high degree of competency in Excel/Google Sheets, BI software (Looker, Microsoft BI, Tableau) and other analytical tools [this will be tested, do not apply if you do not have these skills]Critical Thinker: Very strong ability to structure problems and drive towards solutions even in ambiguous situationsEntrepreneurial Spirit with qualities of being able to work independently and figure things out with innovative thinking, problem-solving skills and presence of mind.Track record of success in their role e.g. fast promotion, demonstrable experience in exceeding results in their roleAmbitious, works hard and works smart (efficiently) wants to supercharge their professional developmentExcellent communication skills able to distill information and understand the way to communicate to different audiences to get resultsDemonstrates humilityPassionate about working with rural, off-grid consumers and resolving their issues.Driven by the social mission to provide energy to consumers and employment to rural communities. Should be a values driven individual. We are looking for someone who is driven, passionate and excited about the opportunity to bring honest, affordable, energy to homes in Africa and Asia. If this sounds like you, we would love to hear from you.Our client offers a competitive salary, a fun, supportive work environment and opportunities for continued professional growth within a fast-growing global enterprise.Job InformationJob Opening IDERJ791Account ManagerAramide OyedepoIndustryEnergy and UtilitiesSalaryNegotiableCityLagosProvinceLagosPostal Code234"
